id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
beavers,1145982,2003-05-23,Ivan M. Lincoln,False,3.5/4,fresh,Deseret News (Salt Lake City),"Timed to be just long enough for most youngsters' brief attention spans -- and it's packed with plenty of interesting activity, both on land and under the water.",POSITIVE,http://www.deseretnews.com/article/700003233/Beavers.html
blood_mask,1636744,2007-06-02,The Foywonder,False,1/5,rotten,Dread Central,"It doesn't matter if a movie costs 300 million or only 300 dollars; good is good and bad is bad, and Bloodmask: The Possession of Nicole Lameroux is just plain bad.",NEGATIVE,http://www.dreadcentral.com/index.php?name=Reviews&req=showcontent&id=1466
city_hunter_shinjuku_private_eyes,2590987,2019-05-28,Reuben Baron,False,,fresh,CBR,"The choreography is so precise and lifelike at points one might wonder whether the movie was rotoscoped, but no live-action reference footage was used. The quality is due to the skill of the animators and Kodama's love for professional wrestling.",POSITIVE,https://www.cbr.com/city-hunter-shinjuku-private-eyes-review/
city_hunter_shinjuku_private_eyes,2558908,2019-02-14,Matt Schley,False,2.5/5,rotten,Japan Times,The film's out-of-touch attempts at humor may find them hunting for the reason the franchise was so popular in the first place.,NEGATIVE,https://www.japantimes.co.jp/culture/2019/02/06/films/film-reviews/city-hunter-movie-shinjuku-private-eyes-dated-gags-modern-day-tokyo/#.XGXYvJNKjOS
dangerous_men_2015,2504681,2018-08-29,Pat Padua,False,,fresh,DCist,Its clumsy determination is endearing and sometimes wildly entertaining,POSITIVE,http://dcist.com/2015/11/out_of_frame_dangerous_men.php
dangerous_men_2015,2299284,2015-12-13,Eric Melin,False,4/5,fresh,Lawrence.com,"With every new minute, there's another head-scratching choice that's bound to elicit some amazing out-loud responses, so this feels like a true party flick.",POSITIVE,http://www.lawrence.com/weblogs/scenestealers/2015/nov/13/99-homes-will-make-you-angry-dangerous-m/
dangerous_men_2015,2295858,2015-11-22,Matt Donato,False,7/10,fresh,We Got This Covered,"Emotionless reaction shots, zero characterization, guns that have absolutely no special effects when blasted - Dangerous Men is rare winning dish from a one star restaurant.",POSITIVE,http://wegotthiscovered.com/movies/dangerous-men-review/
dangerous_men_2015,2295338,2015-11-19,Peter Keough,True,0.5/4,rotten,Boston Globe,"Conceivably, it could serve as a primer for students on how not to make a movie, and perhaps as a deconstruction of filmic conventions for the more theoretical minded.",NEGATIVE,http://www.bostonglobe.com/arts/movies/2015/11/19/beware-dangerous-men/oBHBHQ1o6DGfScUnd4MiIP/story.html
dangerous_men_2015,2294641,2015-11-16,Jason Wilson,False,3/10,rotten,Under the Radar,"If you're not a fan of garbage cinema, even for the fun of it, Dangerous Men is best to be avoided.",NEGATIVE,http://www.undertheradarmag.com/reviews/dangerous_men/
dangerous_men_2015,2294129,2015-11-12,Soren Andersen,True,0/4,rotten,Seattle Times,"""Dangerous Men,"" the picture's production notes inform, took 26 years to reach the big screen. After having seen it, I wonder: What was the rush?",NEGATIVE,http://www.seattletimes.com/entertainment/movies/stay-away-from-dangerous-men/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_movies
